State,District,Avg_Temp,Min_Temp,Max_Temp,Avg_Precipitation,Wind_Speed,pH,Clay,Sand,Silt,Yield_per_Ha
Abia,Eziama Abia,26.19407292,22.0241406,30.35903649,182.6666667,1.462473947,5.45,25.83333333,68.0,8.833333333,1.4088226769366108
Abia,Ogbor hill Abia,26.59496351,22.34274479,30.84425024,199.25,1.587942707,5.733333333,25.83333333,54.83333333,13.0,1.4088226769366108
Abia,Eziukwu Abia,26.70688025,22.3861614,31.0325834,199.7708334,1.626109369,5.533333333,30.0,53.16666667,15.0,1.4088226769366108
Abia,Ohazu Abia,26.17335947,21.99704683,30.35031259,183.1666667,1.503953129,5.4,25.16666667,66.16666667,8.833333333,1.4088226769366108
Abia,Amaeke Abam Abia,26.56922392,22.3566875,30.78992709,176.8333334,1.544171872,5.35,24.66666667,67.16666667,14.16666667,1.4088226769366108
Abia,Arochukwu Abia,26.62616146,22.4909844,30.76069784,187.0625,1.570984371,5.616666667,23.5,63.83333333,11.0,1.4088226769366108
Abia,Ihechiowa Abia,26.43626555,22.28165114,30.58876041,185.9583333,1.582401035,5.566666667,24.0,70.0,9.833333333,1.4088226769366108
Abia,Isuikwuato Abia,26.47583334,22.248469,30.71023436,170.4583334,1.500906243,5.716666667,27.5,61.33333333,13.66666667,1.4088226769366108
Abia,Ovukwu Abam Abia,26.64255711,22.4196043,30.87134377,176.9166667,1.539505208,5.433333333,24.33333333,65.5,13.83333333,1.4088226769366108
Abia,Ututu Abia,26.43001553,22.28998447,30.56584382,186.4583333,1.584484364,5.633333333,22.0,65.83333333,13.0,1.4088226769366108
Abia,Alayi Abia,26.54394778,22.30994801,30.7779063,172.6041667,1.519708337,5.816666667,24.0,69.66666667,9.5,1.4088226769366108
Abia,Bende Abia,26.4336406,22.25335399,30.61044785,178.4375,1.508281251,5.4,25.33333333,67.16666667,12.66666667,1.4088226769366108
Abia,Igbere Abia,26.48353128,22.24928125,30.7240731,173.3541667,1.521291665,5.533333333,25.5,68.5,10.16666667,1.4088226769366108
Abia,Itumbauzo Abia,26.46548474,22.33046349,30.60160427,181.3125,1.508036462,5.366666667,24.0,58.66666667,17.0,1.4088226769366108
Abia,Nkpa Abia,26.42020305,22.15382811,30.68450531,176.0833333,1.467776045,5.516666667,23.0,67.0,11.5,1.4088226769366108
Abia,Ozu-item Abia,26.46216162,22.23631247,30.68903125,176.4375,1.499614579,5.666666667,23.66666667,68.83333333,12.33333333,1.4088226769366108
Abia,Ugwueke Abia,26.75986461,22.51011471,31.01182298,169.3958334,1.513708347,5.55,24.16666667,62.16666667,16.0,1.4088226769366108
Abia,Umuhu-Ezechi Abia,26.45766163,22.24731246,30.66761466,176.2083334,1.51186458,5.6,24.16666667,64.16666667,11.66666667,1.4088226769366108
Abia,Umu-Menyi Abia,26.17335947,21.99704683,30.35031259,183.1666667,1.503953129,5.4,25.16666667,66.16666667,8.833333333,1.4088226769366108
Abia,Uzuakoli Abia,26.41091144,22.1622498,30.65807279,176.8541667,1.484281249,5.516666667,25.66666667,66.5,13.16666667,1.4088226769366108
Abia,Ariam Usaka Abia,26.27052609,22.1541094,30.38877098,185.2916667,1.495703131,5.5,22.66666667,69.0,8.5,1.4088226769366108
Abia,Ibeku Abia,26.33732816,22.10318228,30.56829687,179.2708333,1.465109378,5.316666667,27.16666667,57.0,12.5,1.4088226769366108
Abia,Ibere Abia,26.37898453,22.23071361,30.52777092,181.9375,1.496953125,5.533333333,21.5,66.16666667,11.66666667,1.4088226769366108
Abia,Isingwu Abia,26.39324486,22.16984884,30.6108803,178.4791667,1.446776045,5.45,25.83333333,68.16666667,7.666666667,1.4088226769366108
Abia,Nkwo-Egwu Abia,26.3975782,22.16101555,30.63246366,178.3125,1.437692707,5.333333333,23.0,62.0,9.166666667,1.4088226769366108
Abia,Nwkoachara Abia,26.17335947,21.99704683,30.35031259,183.1666667,1.503953129,5.4,25.16666667,66.16666667,8.833333333,1.4088226769366108
Abia,Oboro Abia,26.60220313,22.36354156,30.84509381,176.7708334,1.578755205,5.516666667,26.16666667,67.5,12.33333333,1.4088226769366108
Abia,Old Umu-Ahia Abia,26.13917717,21.94151549,30.33364054,182.1041667,1.474890617,5.416666667,23.16666667,64.0,8.166666667,1.4088226769366108
Abia,Oloko Abia,26.17375525,22.01267191,30.32997926,184.4583333,1.500536464,5.433333333,26.0,64.33333333,11.0,1.4088226769366108
Abia,Olo-Koro Abia,26.12459386,21.93109878,30.31697385,182.2083334,1.476973953,5.483333333,24.5,64.5,8.166666667,1.4088226769366108
Abia,Omuegwu Abia,26.17335947,21.99704683,30.35031259,183.1666667,1.503953129,5.4,25.16666667,66.16666667,8.833333333,1.4088226769366108
Abia,Uba-Kala Abia,26.34566152,22.1115156,30.58288014,179.125,1.458859379,5.4,22.5,58.83333333,11.16666667,1.4088226769366108
Abia,Umuhu Abia,26.46636987,22.19791138,30.73283871,176.1666667,1.457192711,5.333333333,27.16666667,55.16666667,15.66666667,1.4088226769366108
Abia,Umuo-Para Abia,26.42049496,22.18809883,30.65329691,178.7291667,1.443942711,5.366666667,23.5,66.66666667,7.5,1.4088226769366108
Abia,Amasa-Ntigha Abia,26.08990634,21.92305724,30.25961983,182.9791667,1.463973947,5.5,24.83333333,66.16666667,8.666666667,1.4088226769366108
Abia,Ihie Abia,26.25838538,22.11774481,30.39510433,199.6041667,1.484807285,5.4,22.33333333,67.66666667,6.5,1.4088226769366108
Abia,Ngwa Ukwu Abia,26.15948951,22.00807814,30.31228638,190.4166667,1.582213538,5.65,26.5,61.33333333,10.66666667,1.4088226769366108
Abia,Nsulu Abia,26.09976045,21.92255711,30.27516127,184.375,1.472557282,5.333333333,24.83333333,66.5,7.833333333,1.4088226769366108
Abia,Umuoha Abia,26.11490619,21.93257805,30.29845301,184.9583334,1.473557281,5.533333333,24.0,66.83333333,8.666666667,1.4088226769366108
Abia,Amaise-Ahaba Abia,26.31642171,22.16630737,30.46785434,196.5416667,1.490057285,5.366666667,24.5,69.33333333,6.5,1.4088226769366108
Abia,Isiala Nvosi Abia,26.17407286,22.01224486,30.34561968,187.9375,1.543192705,5.55,23.0,68.0,7.666666667,1.4088226769366108
Abia,Mbutu Abia,26.19044256,22.0181301,30.3596042,188.1458333,1.468390614,5.5,23.83333333,68.66666667,6.5,1.4088226769366108
Abia,Ngwa Abia,26.25796338,22.08150514,30.43147922,191.4791667,1.507020839,5.416666667,27.33333333,63.66666667,10.16666667,1.4088226769366108
Abia,Okporo Ahaba Abia,26.18774478,22.05707296,30.31395316,189.9791667,1.518187501,5.733333333,25.33333333,69.5,8.0,1.4088226769366108
Abia,Omoba Abia,26.19545313,22.08984387,30.30626567,190.4166667,1.480776039,5.733333333,25.0,64.83333333,10.0,1.4088226769366108
Abia,Osokwa - Nvosi Abia,26.1475989,22.03971903,30.26136994,188.6458333,1.469192709,5.583333333,22.5,55.5,13.5,1.4088226769366108
Abia,Ovu-Ngwa Abia,26.10323962,21.94349484,30.26645303,185.0833334,1.473109372,5.466666667,26.83333333,66.5,8.333333333,1.4088226769366108
Abia,Ovu-Okwu Abia,26.1294115,21.99248962,30.26603643,187.7916667,1.468390614,5.5,23.83333333,68.66666667,6.5,1.4088226769366108
Abia,Achara-Uturu Abia,26.47951043,22.24386458,30.70956246,171.5833334,1.474526035,5.833333333,22.16666667,66.5,10.0,1.4088226769366108
Abia,Ezere Abia,26.52521881,22.25553131,30.7988228,171.75,1.489411451,5.7,21.66666667,60.16666667,15.33333333,1.4088226769366108
Abia,Imenyi Abia,26.44838556,22.16911455,30.72848948,173.5833334,1.521208342,6.033333333,25.33333333,68.83333333,10.5,1.4088226769366108
Abia,Isu Amawu Abia,26.37606255,22.09473956,30.65802606,173.6666667,1.529791667,5.766666667,22.5,67.83333333,14.5,1.4088226769366108
Abia,Mbaugwu Abia,26.32008334,22.07121889,30.57440106,171.9791667,1.485322916,5.733333333,25.33333333,67.16666667,14.33333333,1.4088226769366108
Abia,Ohaise Abia,26.26502613,22.07413018,30.46489588,179.5625,1.48482291,5.4,24.66666667,68.5,10.0,1.4088226769366108
Abia,Abayi Abia,26.44429696,22.22557811,30.66450016,194.1666667,1.503953129,5.4,25.16666667,66.16666667,8.833333333,1.4088226769366108
Abia,Ahiaba Abia,26.41563014,22.20482814,30.61825001,191.5416667,1.49515625,5.65,25.33333333,61.0,15.66666667,1.4088226769366108
Abia,Akuma-Imo Abia,26.46685926,22.2897656,30.63866671,201.9791667,1.605942697,5.633333333,23.33333333,49.66666667,16.16666667,1.4088226769366108
Abia,Ala-Ukwu Abia,26.24002608,22.07413022,30.40864583,186.0416667,1.536609374,5.633333333,20.0,67.33333333,8.0,1.4088226769366108
Abia,Ibeme Abia,26.35060406,22.28206241,30.41471362,204.0208334,1.538192705,5.583333333,22.33333333,64.16666667,10.33333333,1.4088226769366108
